VORP,PER,WS,FT,BPM,Rk_Conference,USG%,Trp Dbl,AST,2P%
0.4,13.0,2.3,1.6,-1.2,11.0,21.8,0.0,2.2,0.455
0.1,13.6,2.3,0.5,-1.8,4.0,16.7,0.0,0.5,0.546
1.4,14.9,4.6,0.6,0.5,6.0,16.4,0.0,1.6,0.557
2.4,20.4,4.9,3.9,2.3,15.0,29.2,0.0,2.3,0.536
1.1,14.7,3.1,0.9,0.3,10.0,20.5,0.0,5.2,0.467
5.5,25.8,7.6,7.2,6.8,10.0,36.5,0.0277777777777777,4.6,0.483
1.1,13.2,3.1,2.1,0.2,14.0,19.2,0.0,1.5,0.484
0.6,25.2,3.5,0.7,1.2,1.0,23.8,0.0,0.2,0.658
1.1,15.0,5.0,0.8,0.6,1.0,13.6,0.0,1.8,0.612
0.4,12.0,3.2,2.6,-1.3,1.0,18.8,0.0,4.6,0.42
0.4,11.6,4.2,1.3,-1.3,8.0,14.9,0.0,1.2,0.49
-0.5,9.0,1.4,1.5,-2.8,14.0,16.4,0.0,2.4,0.433
-0.1,9.3,2.1,0.3,-2.4,1.0,11.4,0.0,0.9,0.523
-0.3,13.2,1.2,1.6,-2.5,14.0,23.3,0.0,2.6,0.503
0.0,12.0,1.9,2.1,-2.1,4.0,22.7,0.0,2.6,0.443
0.1,13.1,2.3,0.6,-1.5,1.0,19.5,0.0,1.2,0.556
-0.2,12.1,1.7,1.4,-2.4,4.0,17.6,0.0,4.9,0.399
0.1,10.1,2.1,0.6,-1.6,6.0,15.9,0.0,0.6,0.426
1.7,14.9,6.7,2.4,0.9,1.0,17.0,0.0,2.2,0.54
-0.1,12.3,1.8,1.4,-2.2,15.0,19.7,0.0,0.7,0.52
-0.2,9.9,2.0,1.3,-2.6,2.0,18.0,0.0,1.6,0.461
1.0,11.9,3.8,1.2,0.0,3.0,15.6,0.0,1.0,0.483
-1.1,9.4,1.2,1.1,-4.2,7.0,16.3,0.0,4.7,0.404
0.2,10.9,1.4,0.7,-1.4,1.0,17.1,0.0,1.8,0.405
0.4,9.1,2.1,0.3,-0.9,7.0,9.8,0.0,1.3,0.444
1.1,14.6,4.1,2.0,0.1,5.0,22.2,0.0,1.7,0.496
0.7,18.5,3.2,1.9,-0.5,7.0,29.2,0.0,1.7,0.474
0.6,16.3,3.5,2.8,-0.9,14.0,21.4,0.0405405405405405,3.6,0.507
2.3,14.3,6.9,0.9,2.5,1.0,11.2,0.0,3.4,0.651
0.5,13.3,3.1,1.1,-1.0,7.0,17.9,0.0,1.4,0.479
5.2,25.9,12.7,4.3,4.7,13.0,27.5,0.0121951219512195,2.7,0.582
1.2,16.4,5.1,1.4,0.1,3.0,20.9,0.0,0.9,0.522
-0.6,10.3,1.5,1.1,-3.7,1.0,18.1,0.0,0.8,0.507
-0.4,8.5,1.2,0.9,-3.3,5.0,18.1,0.0,1.7,0.519
0.3,15.3,3.4,0.9,-0.7,8.0,12.4,0.0,0.6,0.579
0.7,14.3,5.8,1.9,-0.7,11.0,14.6,0.0,1.4,0.483
1.0,10.5,3.6,0.9,-0.3,3.0,11.2,0.0,1.2,0.451
0.3,10.9,1.9,0.6,-1.3,4.0,16.5,0.0,2.4,0.473
0.8,14.9,4.1,1.5,-0.4,7.0,18.5,0.0133333333333333,4.2,0.48
0.5,14.0,2.8,1.7,-0.5,3.0,21.1,0.0,1.1,0.514
0.3,14.8,3.0,0.5,-0.7,11.0,10.6,0.0,0.2,0.649
