Model,Epoch,Accuracy,Train Loss,Val Loss,Epoch Time
tiny_vit_5m.pth,1,11.25,4.580533027648926,4.615057945251465,89.71352410316467
tiny_vit_5m.pth,2,25.416666666666668,4.104665279388428,4.132078647613525,91.54446482658386
tiny_vit_5m.pth,3,36.75,3.7048757076263428,3.777899980545044,90.69797325134277
tiny_vit_5m.pth,4,50.083333333333336,3.402285099029541,3.2262845039367676,96.10849118232727
tiny_vit_5m.pth,5,54.333333333333336,2.9175097942352295,2.5769639015197754,88.35560154914856
tiny_vit_5m.pth,6,58.333333333333336,2.7661404609680176,2.7772321701049805,89.2186713218689
tiny_vit_5m.pth,7,65.58333333333333,2.309654712677002,2.5829405784606934,90.66850423812866
tiny_vit_5m.pth,8,67.83333333333333,2.1370954513549805,1.8452755212783813,88.91960835456848
tiny_vit_5m.pth,9,69.41666666666667,1.580645203590393,2.171774387359619,88.45892834663391
tiny_vit_5m.pth,10,72.08333333333333,1.3207380771636963,1.9807498455047607,89.02599763870239
tiny_vit_5m.pth,11,74.33333333333333,1.3902455568313599,1.5256531238555908,88.99953889846802
tiny_vit_5m.pth,12,75.83333333333333,1.1421829462051392,1.0136241912841797,88.94311738014221
tiny_vit_5m.pth,13,76.41666666666667,0.9374565482139587,1.3893665075302124,91.33054041862488
tiny_vit_5m.pth,14,77.25,1.0688027143478394,1.0927091836929321,90.14020943641663
tiny_vit_5m.pth,15,75.75,1.0074039697647095,1.9711006879806519,92.22348141670227
tiny_vit_5m.pth,16,79.5,0.5745660662651062,1.2778329849243164,88.82687592506409
tiny_vit_5m.pth,17,80.66666666666667,0.7467954158782959,1.2817047834396362,88.85993790626526
tiny_vit_5m.pth,18,77.58333333333333,0.7861096858978271,0.8582800030708313,89.96266174316406
tiny_vit_5m.pth,19,78.58333333333333,0.7614424228668213,0.5935614705085754,89.0814380645752
tiny_vit_5m.pth,20,78.66666666666667,0.41571107506752014,1.1297513246536255,88.93026661872864
tiny_vit_5m.pth,21,79.41666666666667,0.6659070253372192,0.6615753769874573,89.76958584785461
tiny_vit_5m.pth,22,80.66666666666667,0.6315922141075134,0.6815802454948425,90.79210186004639
tiny_vit_5m.pth,23,82.33333333333333,0.40181416273117065,0.9670859575271606,89.36236357688904
tiny_vit_5m.pth,24,81.0,0.3193598985671997,0.5638095736503601,90.05077981948853
tiny_vit_5m.pth,25,80.58333333333333,0.25223156809806824,0.694503664970398,88.85125756263733
