Model,Epoch,Accuracy,Train Loss,Val Loss,Epoch Time
mobilenet_v3_small.pth,1,10.5,4.351467609405518,4.039711952209473,37.49104428291321
mobilenet_v3_small.pth,2,24.583333333333332,3.6303701400756836,3.441739797592163,37.943946838378906
mobilenet_v3_small.pth,3,36.0,2.9886837005615234,2.794569253921509,37.718658208847046
mobilenet_v3_small.pth,4,46.583333333333336,2.8053488731384277,1.666499137878418,38.40380573272705
mobilenet_v3_small.pth,5,53.166666666666664,1.5927249193191528,2.1876208782196045,38.81086087226868
mobilenet_v3_small.pth,6,57.166666666666664,1.6131013631820679,1.6440519094467163,38.19789123535156
mobilenet_v3_small.pth,7,61.833333333333336,1.5936154127120972,1.3323681354522705,38.348352670669556
mobilenet_v3_small.pth,8,61.833333333333336,1.0406806468963623,1.288152813911438,38.313337087631226
mobilenet_v3_small.pth,9,63.666666666666664,0.9833104014396667,1.3422826528549194,38.17848825454712
mobilenet_v3_small.pth,10,66.33333333333333,1.030577540397644,0.6723998785018921,38.0477774143219
