Model,Epoch,Accuracy,Train Loss,Val Loss,Epoch Time
shufflenet_v2_x0_5.pth,1,1.9166666666666667,4.769854545593262,4.7770891189575195,38.52275204658508
shufflenet_v2_x0_5.pth,2,3.9166666666666665,4.752618789672852,4.7449750900268555,37.73937702178955
shufflenet_v2_x0_5.pth,3,4.25,4.686968803405762,4.693909645080566,37.2307391166687
shufflenet_v2_x0_5.pth,4,7.75,4.606549263000488,4.606583595275879,37.87233567237854
shufflenet_v2_x0_5.pth,5,10.666666666666666,4.440804481506348,4.426572799682617,37.62454128265381
shufflenet_v2_x0_5.pth,6,9.25,4.288101673126221,4.359342575073242,37.6821985244751
shufflenet_v2_x0_5.pth,7,11.083333333333334,4.137435436248779,4.099949836730957,37.15243601799011
shufflenet_v2_x0_5.pth,8,13.5,4.02349853515625,3.8371620178222656,38.089205741882324
shufflenet_v2_x0_5.pth,9,14.166666666666666,3.7888636589050293,4.0853376388549805,38.353097677230835
shufflenet_v2_x0_5.pth,10,12.583333333333334,3.636974811553955,3.667978286743164,37.95827651023865
