Model,Epoch,Accuracy,Train Loss,Val Loss,Epoch Time
mobilenet_v3_large.pth,1,26.166666666666668,4.063207149505615,4.047255992889404,61.44429421424866
mobilenet_v3_large.pth,2,47.75,2.286562919616699,2.553424596786499,63.86110877990723
mobilenet_v3_large.pth,3,60.833333333333336,1.5417392253875732,2.01639461517334,63.945860862731934
mobilenet_v3_large.pth,4,68.25,1.6257672309875488,1.1200010776519775,63.67012333869934
mobilenet_v3_large.pth,5,69.5,0.6142114400863647,0.9314723610877991,64.14816308021545
mobilenet_v3_large.pth,6,72.16666666666667,1.0031874179840088,0.6398810148239136,64.0904655456543
mobilenet_v3_large.pth,7,75.75,0.395204097032547,0.6730837225914001,63.73918437957764
mobilenet_v3_large.pth,8,73.33333333333333,0.6365943551063538,0.8929102420806885,63.57077217102051
mobilenet_v3_large.pth,9,73.16666666666667,0.3959657549858093,0.5834637880325317,63.6282012462616
mobilenet_v3_large.pth,10,77.08333333333333,0.39872288703918457,1.146108865737915,62.981958627700806
