Model,Epoch,Accuracy,Train Loss,Val Loss,Epoch Time
shufflenet_v2_x1_0.pth,1,4.166666666666667,4.764179229736328,4.761979579925537,42.39681339263916
shufflenet_v2_x1_0.pth,2,9.166666666666666,4.698372840881348,4.712132453918457,42.94416952133179
shufflenet_v2_x1_0.pth,3,11.833333333333334,4.615700721740723,4.553896903991699,43.16628694534302
shufflenet_v2_x1_0.pth,4,11.0,4.416048049926758,4.121048927307129,42.7073974609375
shufflenet_v2_x1_0.pth,5,19.0,4.28484582901001,3.915156364440918,43.38778614997864
shufflenet_v2_x1_0.pth,6,14.833333333333334,4.040198802947998,4.190709590911865,42.84041237831116
shufflenet_v2_x1_0.pth,7,20.0,3.83355975151062,4.001041889190674,42.44843935966492
shufflenet_v2_x1_0.pth,8,19.0,3.741969585418701,3.5762720108032227,43.839195013046265
shufflenet_v2_x1_0.pth,9,20.666666666666668,3.39229679107666,3.5155630111694336,43.156511545181274
shufflenet_v2_x1_0.pth,10,23.666666666666668,3.2552127838134766,3.341686487197876,42.84645700454712
