Model,Epoch,Accuracy,Train Loss,Val Loss,Epoch Time
mnasnet0_5.pth,1,5.0,4.727417469024658,4.753049373626709,49.081547021865845
mnasnet0_5.pth,2,10.583333333333334,4.675021171569824,4.671231269836426,48.298680782318115
mnasnet0_5.pth,3,16.0,4.593450546264648,4.643869400024414,48.86234951019287
mnasnet0_5.pth,4,16.916666666666668,4.495575904846191,4.456336498260498,49.431365966796875
mnasnet0_5.pth,5,18.916666666666668,4.272945880889893,4.349742889404297,49.057499408721924
mnasnet0_5.pth,6,20.333333333333332,4.11449670791626,3.9016213417053223,49.480618715286255
mnasnet0_5.pth,7,21.25,3.7627720832824707,3.5168511867523193,49.61007571220398
mnasnet0_5.pth,8,22.5,3.713149070739746,3.3508191108703613,49.094239950180054
mnasnet0_5.pth,9,22.75,3.4191577434539795,3.2546029090881348,48.96675777435303
mnasnet0_5.pth,10,23.166666666666668,3.328458786010742,3.341798782348633,49.83382034301758
