,Name_Index
COMPETED UNDER SAP,1
NOT AVAILABLE FOR COMPETITION,2
NOT COMPETED UNDER SAP,3
NOT COMPETED,4
FULL AND OPEN COMPETITION,5
FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,6
FOLLOW ON TO COMPETED ACTION,7
COMPETITIVE DELIVERY ORDER,8
