MP,PTS,PER,VORP,WS,TOV,STL%,BPM,Rk_Year,AST%
20.2,7.9,10.4,-0.1,1.3,0.6,1.5,-2.3,23,9.4
18.4,9.7,17.0,0.7,2.7,0.6,1.2,0.5,20,11.3
8.6,1.7,12.7,0.2,1.3,0.3,2.4,-0.8,24,6.4
37.0,23.9,25.1,6.6,13.8,2.1,2.6,7.3,15,24.8
36.4,23.1,23.2,4.8,8.8,4.1,2.7,4.7,9,46.9
15.1,7.4,19.5,0.1,2.1,0.8,1.8,-1.3,29,5.2
20.3,4.3,7.7,-0.3,1.4,0.6,1.6,-2.6,22,6.0
18.8,6.6,9.9,-0.3,0.2,1.5,2.3,-3.2,15,20.0
37.2,18.9,14.6,0.9,3.0,1.8,1.2,0.1,24,12.6
18.7,7.5,13.9,1.1,3.0,1.4,3.2,1.4,2,20.8
26.2,10.1,12.1,0.9,3.7,1.0,1.0,0.0,5,9.4
12.4,2.9,14.8,0.3,3.0,0.5,1.8,-0.7,22,2.4
19.3,8.1,9.8,-0.6,0.4,1.0,1.2,-4.2,23,6.9
34.6,31.6,30.6,9.3,13.1,5.4,2.3,11.1,10,57.3
12.6,4.6,16.6,1.0,2.6,1.1,2.4,2.8,1,24.1
27.0,9.1,13.3,0.5,3.1,1.4,3.1,-1.0,12,8.4
27.6,8.4,16.6,0.8,4.1,1.4,1.2,0.3,29,3.3
30.9,15.7,14.9,0.5,3.5,1.6,1.1,-1.0,18,9.8
12.3,5.0,10.8,-0.2,0.5,0.8,0.8,-3.0,9,20.7
22.5,7.4,7.6,-1.3,-0.8,1.9,1.2,-5.1,30,17.7
29.1,8.7,11.3,0.4,1.9,1.5,1.7,-1.1,16,7.9
32.6,17.0,22.6,2.2,9.5,2.0,1.1,1.5,17,3.8
18.6,5.2,7.3,-0.8,0.2,1.2,1.3,-4.4,30,15.2
15.5,6.7,11.6,0.0,0.8,0.8,1.4,-2.3,8,7.5
23.5,7.1,12.4,-0.3,2.4,1.6,1.8,-2.7,21,31.4
23.4,10.7,13.8,1.1,4.0,0.5,1.3,0.5,13,4.1
37.2,23.6,16.5,0.2,4.2,2.3,1.4,-1.7,24,10.6
21.3,14.3,23.7,1.4,5.8,1.7,1.0,1.7,10,7.9
14.9,6.3,12.4,0.0,1.2,0.8,1.4,-1.9,25,10.3
14.3,2.9,11.6,0.1,1.7,0.5,1.0,-1.7,13,9.1
21.1,11.0,12.4,-0.2,0.3,1.6,1.1,-2.8,29,17.8
18.9,9.1,15.6,1.1,3.7,0.7,1.2,1.0,5,4.9
25.2,6.4,9.1,0.0,2.9,0.7,1.2,-1.9,17,8.8
16.3,4.5,9.3,-0.4,0.9,0.8,2.1,-3.6,26,16.1
21.3,6.7,10.9,0.3,1.9,1.0,1.9,-1.3,6,16.3
32.4,10.0,14.2,1.3,5.7,1.3,1.7,-0.1,24,8.6
15.8,4.8,15.3,0.3,3.4,0.5,1.2,-0.7,15,5.7
35.0,23.0,19.9,2.8,7.6,2.2,1.3,2.0,16,18.0
20.0,6.6,13.8,-0.2,2.6,0.9,1.3,-2.5,23,5.3
31.2,14.0,13.7,0.3,4.1,1.7,1.7,-1.5,9,7.8
18.6,6.2,8.5,-0.4,1.2,1.2,0.9,-3.3,8,14.1
30.2,11.2,13.7,1.1,5.0,0.8,1.3,0.0,20,7.1
